"Studien_jahr","Studie","Label","Wert","Wert_low","Wert_upp","n","var","sex","SDcasmin","agegr","bula","Fallzahl_gesamt","typ","stand","var_label","Indikator","Substrata"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1831,0.1743,0.1923,1906,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1796,0.1715,0.1881,2143,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1904,0.1789,0.2025,1915,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1897,0.1789,0.201,1960,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1469,0.1225,0.1753,225,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1659,0.1404,0.1949,259,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1986,0.19,0.2075,3717,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.187,0.1791,0.1951,3850,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1826,0.1651,0.2015,437,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",7986,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0989,0.088,0.1109,359,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",7986,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0806,0.0673,0.0962,134,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",7986,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2719,0.2471,0.2983,361,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",5456,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1712,0.1561,0.1873,444,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",5456,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1732,0.1514,0.1975,204,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",5456,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.2254,0.2111,0.2403,1068,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",20809,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1303,0.1219,0.1392,1261,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",20809,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.0862,0.0781,0.095,461,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",20809,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.2189,0.205,0.2335,1094,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",21566,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1299,0.1218,0.1383,1270,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",21566,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.0959,0.0877,0.1047,564,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",21566,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.2333,0.2163,0.2512,981,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",18879,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1375,0.1284,0.1471,1304,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",18879,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1046,0.0956,0.1143,665,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",18879,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.2423,0.2293,0.2558,1311,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",23740,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1679,0.1602,0.1759,2141,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",23740,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1063,0.0974,0.1159,590,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",23740,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.268,0.2494,0.2875,1080,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",22361,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1747,0.1644,0.1855,1769,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",22361,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1082,0.1004,0.1164,1017,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",22361,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1977,0.1547,0.2491,106,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",2932,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.149,0.1256,0.1758,215,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",2932,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1182,0.0979,0.142,160,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",2932,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.261,0.2468,0.2757,1815,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1869,0.1791,0.195,3605,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1139,0.1079,0.1201,2119,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0288,0.0197,0.042,37,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1042,0.091,0.1191,256,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1865,0.1691,0.2052,462,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1622,0.1374,0.1904,168,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1415,0.0816,0.2343,15,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.0774,0.061,0.0977,73,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1438,0.1274,0.162,259,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2476,0.2267,0.2697,442,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.3066,0.2727,0.3427,222,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2424,0.1501,0.367,15,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.063,0.0536,0.074,212,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.123,0.1119,0.1351,619,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1995,0.1872,0.2125,1244,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.2272,0.2077,0.248,648,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1531,0.1147,0.2013,68,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.0543,0.046,0.0639,192,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1437,0.132,0.1563,714,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1969,0.1852,0.2092,1338,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.2007,0.1822,0.2206,601,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1601,0.1235,0.2052,86,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.0659,0.054,0.0802,154,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1423,0.1272,0.1589,509,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1938,0.1806,0.2078,1313,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.2136,0.1954,0.233,836,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1917,0.1532,0.2371,139,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.0927,0.0814,0.1054,319,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1731,0.1601,0.1869,822,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.2077,0.1977,0.2181,1748,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.2209,0.2068,0.2357,995,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1715,0.144,0.2031,165,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.096,0.0791,0.1161,170,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1659,0.1494,0.1838,548,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.2332,0.2194,0.2476,1752,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.2303,0.2134,0.2482,1168,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.168,0.1407,0.1992,237,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.0652,0.0332,0.1238,15,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1092,0.0779,0.151,63,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.2041,0.1717,0.2408,214,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.2077,0.1677,0.2544,151,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.165,0.1103,0.2396,41,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1115,0.0978,0.1269,330,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1879,0.1738,0.2029,1007,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2325,0.2224,0.2428,3292,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2112,0.2003,0.2226,2281,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1559,0.1412,0.1719,657,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1561,0.1032,0.2291,31,"PAadi","Gesamt","Gesamt","Gesamt","Schleswig-Holstein",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0593,0.0321,0.1068,12,"PAadi","Gesamt","Gesamt","Gesamt","Hamburg",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1525,0.1226,0.1881,99,"PAadi","Gesamt","Gesamt","Gesamt","Niedersachsen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1325,0.0596,0.269,9,"PAadi","Gesamt","Gesamt","Gesamt","Bremen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1137,0.0962,0.1338,180,"PAadi","Gesamt","Gesamt","Gesamt","Nordrhein-Westfalen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1379,0.1068,0.1763,79,"PAadi","Gesamt","Gesamt","Gesamt","Hessen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1132,0.078,0.1615,39,"PAadi","Gesamt","Gesamt","Gesamt","Rheinland-Pfalz",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1024,0.0822,0.1268,102,"PAadi","Gesamt","Gesamt","Gesamt","Baden-Württemberg",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1258,0.1036,0.1519,132,"PAadi","Gesamt","Gesamt","Gesamt","Bayern",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1771,0.0933,0.3105,12,"PAadi","Gesamt","Gesamt","Gesamt","Saarland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.084,0.0561,0.1239,32,"PAadi","Gesamt","Gesamt","Gesamt","Berlin",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1697,0.1238,0.2281,45,"PAadi","Gesamt","Gesamt","Gesamt","Brandenburg",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.2425,0.1687,0.3356,33,"PAadi","Gesamt","Gesamt","Gesamt","Mecklenburg-Vorpommern",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1565,0.1175,0.2053,57,"PAadi","Gesamt","Gesamt","Gesamt","Sachsen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1945,0.1425,0.2596,44,"PAadi","Gesamt","Gesamt","Gesamt","Sachsen-Anhalt",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1299,0.0883,0.1872,32,"PAadi","Gesamt","Gesamt","Gesamt","Thüringen",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2032,0.149,0.2708,40,"PAadi","Gesamt","Gesamt","Gesamt","Schleswig-Holstein",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
