"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende","invalid1","invalid2","invalidFall"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",15.59,14.12,17.19,657,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",5351,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",7.08,5.66,8.83,116,"PAadi","Männlich","Gesamt","18-29 Jahre","Deutschland",1810,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",12.92,11.27,14.78,287,"PAadi","Männlich","Gesamt","30-44 Jahre","Deutschland",2426,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",21.11,19.26,23.1,591,"PAadi","Männlich","Gesamt","45-64 Jahre","Deutschland",3139,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",22.18,19.34,25.3,273,"PAadi","Männlich","Gesamt","65-79 Jahre","Deutschland",1482,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",14.03,8.42,22.47,27,"PAadi","Männlich","Gesamt",">=80 Jahre","Deutschland",204,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,TRUE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",5.45,4.32,6.84,96,"PAadi","Weiblich","Gesamt","18-29 Jahre","Deutschland",1892,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",11.65,10.23,13.24,332,"PAadi","Weiblich","Gesamt","30-44 Jahre","Deutschland",3442,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",18.77,17.18,20.47,653,"PAadi","Weiblich","Gesamt","45-64 Jahre","Deutschland",4188,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",23.14,20.52,25.98,375,"PAadi","Weiblich","Gesamt","65-79 Jahre","Deutschland",1906,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",16.01,11.25,22.27,41,"PAadi","Weiblich","Gesamt",">=80 Jahre","Deutschland",349,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",5.4,4.26,6.82,97,"PAadi","Männlich","Gesamt","18-29 Jahre","Deutschland",1792,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",15.73,13.94,17.71,346,"PAadi","Männlich","Gesamt","30-44 Jahre","Deutschland",2527,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",21.11,19.32,23.01,632,"PAadi","Männlich","Gesamt","45-64 Jahre","Deutschland",3327,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",18.47,15.93,21.31,267,"PAadi","Männlich","Gesamt","65-79 Jahre","Deutschland",1641,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",9.98,6.35,15.34,27,"PAadi","Männlich","Gesamt",">=80 Jahre","Deutschland",200,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,TRUE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",5.46,4.34,6.85,95,"PAadi","Weiblich","Gesamt","18-29 Jahre","Deutschland",1949,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",12.94,11.49,14.53,368,"PAadi","Weiblich","Gesamt","30-44 Jahre","Deutschland",3438,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",18.24,16.77,19.8,706,"PAadi","Weiblich","Gesamt","45-64 Jahre","Deutschland",4504,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",21.37,18.8,24.19,334,"PAadi","Weiblich","Gesamt","65-79 Jahre","Deutschland",1870,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",19.04,14.06,25.28,59,"PAadi","Weiblich","Gesamt",">=80 Jahre","Deutschland",343,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",7.58,5.92,9.67,96,"PAadi","Männlich","Gesamt","18-29 Jahre","Deutschland",1394,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.45,14.14,19.06,289,"PAadi","Männlich","Gesamt","30-44 Jahre","Deutschland",2028,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
